condition,keyword,score,rank
Digestive Issues,fecal,0.07091646075196628,1
Digestive Issues,ibd,0.06957695419803926,2
Digestive Issues,vomiting,0.06876942788591177,3
Digestive Issues,pancreatitis,0.06655994365801494,4
Digestive Issues,diarrhea,0.06633532277886325,5
Digestive Issues,gastric,0.06307706059471538,6
Digestive Issues,motility,0.06307706059471538,7
Digestive Issues,feeding,0.06307706059471538,8
Digestive Issues,bowel,0.06307706059471538,9
Digestive Issues,obstruction,0.06307706059471538,10
Digestive Issues,fecal culture,0.05895768426148312,11
Digestive Issues,colitis,0.05895768426148312,12
Digestive Issues,bile,0.05895768426148312,13
Digestive Issues,constipation,0.05895768426148312,14
Digestive Issues,fluids,0.05613424855485015,15
Digestive Issues,large bowel,0.05391597509466213,16
Digestive Issues,bile acids,0.05391597509466213,17
Digestive Issues,large bowel diarrhea,0.05391597509466213,18
Digestive Issues,pancreatic,0.05391597509466213,19
Digestive Issues,cobalamin,0.05391597509466213,20
Digestive Issues,level,0.05391597509466213,21
Digestive Issues,bowel diarrhea,0.05391597509466213,22
Digestive Issues,rectal,0.05391597509466213,23
Digestive Issues,melena,0.05391597509466213,24
Digestive Issues,dehydration,0.05391597509466213,25
Digestive Issues,sucralfate,0.05391597509466213,26
Digestive Issues,addison,0.05391597509466213,27
Digestive Issues,foreign,0.05370014344780164,28
Digestive Issues,lymphoma,0.05370014344780164,29
Digestive Issues,weight loss,0.05370014344780164,30
Digestive Issues,foreign body,0.05089017532234661,31
Digestive Issues,diet,0.04837872834293396,32
Digestive Issues,abdominal,0.04837872834293396,33
Digestive Issues,ultrasound,0.04837872834293396,34
Digestive Issues,small,0.04756668843439739,35
Digestive Issues,hydration,0.04756668843439739,36
Digestive Issues,stool,0.04756668843439739,37
Digestive Issues,giardia,0.04756668843439739,38
Digestive Issues,low,0.04756668843439739,39
Digestive Issues,liver dysfunction,0.04741608149133827,40
Ear Infections,ear canal,0.07609485397344593,1
Ear Infections,ear,0.07521074602873676,2
Ear Infections,media,0.07419491268622175,3
Ear Infections,otitis media,0.0721137624738239,4
Ear Infections,canal,0.07039195392619116,5
Ear Infections,otitis,0.07029033672964104,6
Ear Infections,vestibular,0.06981315764871703,7
Ear Infections,middle,0.06724130026500005,8
Ear Infections,polyp,0.06724130026500005,9
Ear Infections,hematoma,0.06432556884268145,10
Ear Infections,aural hematoma,0.06432556884268145,11
Ear Infections,aural,0.06432556884268145,12
Ear Infections,yeast,0.061392849053614015,13
Ear Infections,flush,0.060959603940271154,14
Ear Infections,tympanic,0.060959603940271154,15
Ear Infections,middle ear,0.060959603940271154,16
Ear Infections,interna,0.060959603940271154,17
Ear Infections,tympanic membrane,0.060959603940271154,18
Ear Infections,membrane,0.060959603940271154,19
Ear Infections,drops,0.05697851244064912,20
Ear Infections,yeast otitis,0.05697851244064912,21
Ear Infections,vertical,0.05697851244064912,22
Ear Infections,teca-bo,0.05697851244064912,23
Ear Infections,central,0.05697851244064912,24
Ear Infections,debris,0.05424985766814716,25
Ear Infections,otitis externa,0.05213211688846133,26
Ear Infections,externa,0.05213211688846133,27
Ear Infections,ear canal ablation,0.05210605023182529,28
Ear Infections,right ear,0.05210605023182529,29
Ear Infections,nerve,0.05210605023182529,30
Ear Infections,ablation,0.05210605023182529,31
Ear Infections,ear infection,0.05210605023182529,32
Ear Infections,ear flush,0.05210605023182529,33
Ear Infections,video,0.05210605023182529,34
Ear Infections,sedation,0.05210605023182529,35
Ear Infections,bulla,0.05210605023182529,36
Ear Infections,myringotomy,0.05210605023182529,37
Ear Infections,canal ablation,0.05210605023182529,38
Ear Infections,ceruminous,0.05210605023182529,39
Ear Infections,facial nerve,0.05210605023182529,40
Mobility Problems,lameness,0.07606884703512662,1
Mobility Problems,spinal,0.07416955509083809,2
Mobility Problems,hind,0.07416955509083809,3
Mobility Problems,bone,0.0672183192057406,4
Mobility Problems,ccl,0.0672183192057406,5
Mobility Problems,stifle,0.0672183192057406,6
Mobility Problems,joint,0.06530159512766974,7
Mobility Problems,hind limb,0.06430358429295316,8
